category,page_url,page_title,content_id,guidance_proposition_id,guidance_proposition_text,section_locator,source_paragraphs,comparison_id,relationship,confidence,cosine_score,bert_score_f1,explanation,assessment_status,coverage_result,candidate_count,reportable_comparison_count,ungrounded_candidate_count,law_proposition_id,law_proposition_text,law_source_record_id,law_name,law_url,law_provision_url,law_short_name,law_label,law_fragment_locator
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-18,"When applying for a derogation, a farmer must provide the total amount of manure nitrogen from non-grazing livestock on their farm during the calendar year (kgN).",section:grassland-derogations-for-2026,total amount of manure nitrogen from non-grazing livestock on your farm during the calendar year ( kgN ),m-ae30c821,GUIDANCE_BROADER,medium,0.755,,"Schedule 3 para 14(2) requires calculating and recording manure nitrogen from livestock as a derogation condition, but the guidance adds the specific restriction to non-grazing livestock and frames this as an application submission requirement, going beyond what the clause states.",COMPLETE,HAS_REPORTABLE_COMPARISON,14,1,13,bcand:8d7162b402e56536,"Having complied with the duty under sub-paragraph (1), the occupier must calculate and record the amount of nitrogen and phosphate in manure expected to be produced by the livestock on the holding during that year by reference to Schedule 1.",lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/schedule/3/paragraph/14,,,schedule:3:paragraph:14:subparagraph:2
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-19,"If a derogation application is successful, the farmer must formally agree in writing to the Environment Agency to fulfil the conditions of their derogation.",section:grassland-derogations-for-2026,"If your application is successful, you must formally agree to fulfil the conditions of your derogation in writing to the EA .",m-fdb636c2,GROUNDED,high,0.7075,,"Regulation 36(4) requires the occupier to send the Agency a written declaration that derogation conditions will be met, or the derogation lapses — this directly underpins the guidance that a successful applicant must formally agree in writing to the Environment Agency to fulfil the conditions.",COMPLETE,HAS_REPORTABLE_COMPARISON,12,1,11,bcand:e6b40a3919b91922,A derogation granted under regulation 36 ceases to have effect unless the occupier to whom the derogation is granted has sent to the Agency a written declaration that the conditions set out in Schedule 3 (the derogation conditions) will be met in relation to the holding.,lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/regulation/36/4,,,regulation:36:paragraph:4
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-2,"The 170kg per hectare nitrogen loading limit applies as an average across the whole holding, including manure deposited directly by grazing livestock and what is spread.",section:intro,This includes manure deposited directly by grazing livestock and what you spread. This limit is the loading limit and applies as an average across your holding.,,,,,,,COMPLETE,ONLY_UNGROUNDED_CANDIDATES,2,0,2,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-20,The Environment Agency will refuse a derogation application if the farmer does not meet the eligibility criteria or does not apply within the specified dates.,section:grassland-derogations-for-2026,"The EA will refuse your application if you do not meet the eligibility criteria or do not apply within the specified dates. If refused, the EA expects you to follow the 170kg nitrogen per hectare limit.",,,,,,,COMPLETE,ONLY_UNGROUNDED_CANDIDATES,8,0,8,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-21,"If a derogation application is refused, the Environment Agency expects the farmer to follow the 170kg nitrogen per hectare limit.",section:grassland-derogations-for-2026,"If refused, the EA expects you to follow the 170kg nitrogen per hectare limit.",,,,,,,COMPLETE,ONLY_UNGROUNDED_CANDIDATES,15,0,15,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-22,"The Environment Agency is required to carry out a Habitats Regulations Assessment (HRA) if a farm falls within or is near a European site designated under the Habitats Regulations, or is within the catchment of a European site in unfavourable conservation status due to nutrient pollution.",section:grassland-derogations-for-2026,The EA are required to carry out a Habitats Regulations Assessment (HRA) if your farm falls within or is near a European site designated under the Habitats Regulations or your farm is within the catchment of a European site that is in unfavourable conservation status due to nutrient pollution.,,,,,,,COMPLETE,ONLY_UNGROUNDED_CANDIDATES,15,0,15,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-23,"If a Habitats Regulations Assessment shows that granting a derogation would have an adverse effect on a European site, the derogation application may be refused.",section:grassland-derogations-for-2026,If the HRA shows that granting a derogation would have an adverse effect on a European site your application may be refused.,,,,,,,COMPLETE,ONLY_UNGROUNDED_CANDIDATES,1,0,1,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-24,The Environment Agency may refuse to give a derogation if the farmer had a derogation during a previous year but did not follow all the conditions for that derogation.,section:grassland-derogations-for-2026,The EA may also refuse to give you a derogation if you had a derogation during a previous year but did not follow all the conditions for that derogation.,m-8bca6a84,CONFLICTS,high,0.7349,,"Rule 1 would normally apply (factual_statement → UNGROUNDED), but the guidance is substantively asserting a regulatory rule about when the Agency may refuse. The law says the Agency 'must refuse' when a prior-year breach is found, but the guidance states it 'may refuse', which is a weaker and positively contradictory statement within the same regulatory framework.",COMPLETE,HAS_REPORTABLE_COMPARISON,8,1,7,bcand:3935f9d6579fd87f,The Agency must refuse a derogation application if the occupier has been found in breach of the derogation conditions during the calendar year preceding that to which the application relates.,lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/regulation/37/7,,,regulation:37:paragraph:7
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-25,"A farmer may appeal a refused derogation application within 30 days of the refusal, and an independent panel will consider the appeal.",section:grassland-derogations-for-2026,You can appeal within 30 days of your application being refused. An independent panel will consider your appeal.,,,,,,,COMPLETE,ONLY_UNGROUNDED_CANDIDATES,4,0,4,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-26,A derogation holder must meet all the conditions of their derogation and follow the rules that apply when using nitrogen fertilisers and storing organic manures in NVZs.,section:derogation-conditions,You must meet all the conditions of your derogation and follow the rules that apply when using nitrogen fertilisers and storing organic manures in NVZs .,m-b9bfb2d3,GROUNDED,high,0.7256,,"This provision directly imposes the obligation on occupiers granted a derogation to meet derogation conditions, which is exactly what the guidance states. The additional reference to nitrogen fertiliser and organic manure storage rules reflects the broader NVZ regulatory framework consistently applied to derogation holders.",COMPLETE,HAS_REPORTABLE_COMPARISON,3,1,2,bcand:daa6b18304ff4677,"Where the Agency grants a derogation application, the occupier of the designated holding must meet the derogation conditions in relation to that holding.",lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/regulation/37/3,,,regulation:37:paragraph:3
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-27,"If a farmer does not meet the conditions of a derogation for the year it covers, the Environment Agency may fine them.",,"If you do not meet the conditions of a derogation for the year it covers:
the EA may fine you",,,,,,,COMPLETE,ONLY_UNGROUNDED_CANDIDATES,15,0,15,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-28,"If a farmer does not meet the conditions of a derogation for the year it covers, they may not be eligible to apply for a derogation in the following year.",,"If you do not meet the conditions of a derogation for the year it covers:
you may not be eligible to apply for a derogation in the following year",,,,,,,COMPLETE,ONLY_UNGROUNDED_CANDIDATES,15,0,15,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-29,"A farmer will not be allowed to apply more than 170kg of nitrogen per hectare in livestock manure, averaged across their holding, if the Environment Agency withdraws their derogation.",,"You will not be allowed to apply more than 170kg of nitrogen per hectare in livestock manure, averaged across your holding, if the EA either:
withdraws your derogation
decides you're ineligible to apply for a derogation the following year",m-afd2848c,GROUNDED,high,0.7649,,"Regulation 7(1) directly imposes the 170kg nitrogen per hectare limit in livestock manure across the holding, which is exactly what the guidance states applies when a derogation is withdrawn. The guidance accurately restates the statutory floor in this provision.",COMPLETE,HAS_REPORTABLE_COMPARISON,5,1,4,bcand:44654d1fd1959fe9,"The occupier of a holding must ensure that, in any calendar year, the total amount of nitrogen in livestock manure applied to the holding (whether directly by an animal or by spreading) does not exceed 170 kg multiplied by the area of the holding in hectares.",lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/regulation/7/1,,,regulation:7:paragraph:1
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-3,A farmer may operate under a derogation to use up to 250kg of nitrogen per hectare from grazing livestock manure under certain conditions.,section:intro,You may be able to operate under a derogation to use up to 250kg of nitrogen per hectare from grazing livestock manure under certain conditions.,,,,,,,COMPLETE,ONLY_UNGROUNDED_CANDIDATES,6,0,6,,,,,,,,,
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-30,"A farmer will not be allowed to apply more than 170kg of nitrogen per hectare in livestock manure, averaged across their holding, if the Environment Agency decides they are ineligible to apply for a derogation the following year.",,"You will not be allowed to apply more than 170kg of nitrogen per hectare in livestock manure, averaged across your holding, if the EA either:
withdraws your derogation
decides you're ineligible to apply for a derogation the following year",m-37a63606,GROUNDED,high,0.7691,,"Regulation 7(1) imposes the 170 kg/ha livestock-manure nitrogen limit across the holding, which is precisely the rule the guidance states applies when a derogation is unavailable; the guidance accurately reflects this statutory minimum.",COMPLETE,HAS_REPORTABLE_COMPARISON,4,1,3,bcand:44654d1fd1959fe9,"The occupier of a holding must ensure that, in any calendar year, the total amount of nitrogen in livestock manure applied to the holding (whether directly by an animal or by spreading) does not exceed 170 kg multiplied by the area of the holding in hectares.",lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/regulation/7/1,,,regulation:7:paragraph:1
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-31,"If a derogation holder ploughs grassland, they must plant a crop with a high nitrogen demand (for example, grass, potatoes, sugar beet, maize) within 4 weeks from the date of ploughing.",,"If you plough grassland where you have a derogation, you must plant one of the following:
a crop with a high nitrogen demand (for example, grass, potatoes, sugar beet, maize) within 4 weeks from the date of ploughing
grass within 6 weeks from the date of ploughing",m-f91f9007,GROUNDED,high,0.7959,,"The guidance accurately restates the statutory requirement in schedule 3, paragraph 10(1)(a): ploughed grassland must be re-sown with a high nitrogen demand crop within four weeks. The examples given (grass, potatoes, sugar beet, maize) are illustrative and consistent with the concept of high nitrogen demand crops.",COMPLETE,HAS_REPORTABLE_COMPARISON,4,1,3,bcand:f049bdaa13cdeba9,"Where any grass on the holding is ploughed, the land must be sown with a crop with high nitrogen demand within four weeks beginning with the day after the ploughing.",lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/schedule/3/paragraph/10,,,schedule:3:paragraph:10:subparagraph:1:item:a
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-32,"If a derogation holder ploughs grassland, they must plant grass within 6 weeks from the date of ploughing.",,"If you plough grassland where you have a derogation, you must plant one of the following:
a crop with a high nitrogen demand (for example, grass, potatoes, sugar beet, maize) within 4 weeks from the date of ploughing
grass within 6 weeks from the date of ploughing",m-f4b673a8,GROUNDED,high,0.7807,,"The law requires sowing with grass within six weeks beginning with the day after ploughing, and the guidance states planting grass within 6 weeks from the date of ploughing. The minor phrasing difference ('day after ploughing' vs 'date of ploughing') is negligible in practical effect, and the substance accurately reflects the legal requirement.",COMPLETE,HAS_REPORTABLE_COMPARISON,9,1,8,bcand:4a537bd92f9ecf0d,"Where any grass on the holding is ploughed, the land must be sown with grass within six weeks beginning with the day after the ploughing.",lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/schedule/3/paragraph/10,,,schedule:3:paragraph:10:subparagraph:1:item:b
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-33,A derogation holder must not plough temporary grassland on sandy soils between 1 July and 31 December.,section:ploughing-grassland-if-you-have-a-derogation,You must not plough temporary grassland on sandy soils between 1 July and 31 December.,m-95cdee43,GROUNDED,high,0.8198,,"The guidance accurately restates the legal prohibition: temporary grassland on sandy soils must not be ploughed between 1 July and 31 December, matching the candidate clause exactly.",COMPLETE,HAS_REPORTABLE_COMPARISON,3,1,2,bcand:e7808fa970b97232,Any temporary grassland on sandy soils on the holding must not be ploughed between 1 July and the following 31 December.,lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/schedule/3/paragraph/9,,,schedule:3:paragraph:9:subparagraph:1
ssafo-nitrates,https://www.gov.uk/guidance/grassland-derogations-for-livestock-manure-in-nitrate-vulnerable-zones,Grassland derogations for livestock manure in nitrate vulnerable zones,5fa75896-7631-11e4-a3cb-005056011aef,susan-41dbc58cc6ea1113-34,A derogation holder must not plough any area of grass before 16 January if they spread livestock manure on that area in the previous year between 1 September and 31 December on sandy soils.,,"You must not plough any area of grass before 16 January if you've spread livestock manure on that area in the previous year between:
1 September and 31 December on sandy soils
15 October and 15 January on all other soils",m-ae27a318,GROUNDED,high,0.8239,,"The guidance accurately restates this provision word-for-word in substance: spreading on sandy soils between 1 September and 31 December triggers a prohibition on ploughing before the following 16 January. The guidance adds 'derogation holder' as subject, which is consistent with the derogation scheme context.",COMPLETE,HAS_REPORTABLE_COMPARISON,4,1,3,bcand:9024af88939a23c9,"Where livestock manure has been spread on grass on sandy soils on the holding between 1 September and 31 December, the grass must not be ploughed before the following 16 January.",lex-120b4f9c395b3f94,The Nitrate Pollution Prevention Regulations 2015,https://www.legislation.gov.uk/uksi/2015/668/contents/made,https://www.legislation.gov.uk/uksi/2015/668/schedule/3/paragraph/9,,,schedule:3:paragraph:9:subparagraph:2
